Track name,Artist name,Album,Playlist name,Type,ISRC
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),Favorite Songs,Favorite,USAT21601893
,,,Favorite Songs,Favorite,
Kasoor,Prateek Kuhad,Kasoor,Favorite Songs,Favorite,FRX202024247
cold/mess,Prateek Kuhad,cold/mess,Favorite Songs,Favorite,USAT22006215
Tum Jab Paas,Prateek Kuhad,Tum Jab Paas - Single,Favorite Songs,Favorite,QM4TX1796334
Tune Kaha,Prateek Kuhad,Tune Kaha,Favorite Songs,Favorite,uscgh1647832
Saansein,Prateek Kuhad,Karwaan,Favorite Songs,Favorite,INS181801626
"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,"Dil Beparvah (The Dewarists, Season 5)",Favorite Songs,Favorite,FR10S1773710
Kadam,Prateek Kuhad,Karwaan,Favorite Songs,Favorite,INS181801629
cold/mess (on piano),Prateek Kuhad,cold/mess (on piano),Favorite Songs,Favorite,USAT22100299
Cold Shoulders,Prateek Kuhad,In Tokens & Charms (Deluxe Edition),Favorite Songs,Favorite,USX9P1400909
Chammak Challo,Akon,Ra-One,Favorite Songs,Favorite,INS181103370
Raat Raazi,Prateek Kuhad,Raat Raazi,Favorite Songs,Favorite,INO131300067
Kaise Mujhe,Benny Dayal,Ghajini,Favorite Songs,Favorite,INS180809766
Tum Se Hi,Pritam,Jab We Met,Favorite Songs,Favorite,INS180705982
Tumse Milke Dil Ka,Sonu Nigam,Main Hoon Na,Favorite Songs,Favorite,INS180461118
Delicate,Damien Rice,O,Favorite Songs,Favorite,IEABD0000001
Hit The Ground,Lizz Wright,Dreaming Wide Awake,Favorite Songs,Favorite,USGR10500426
rainy day lament,Joe Purdy,StompinGrounds,Favorite Songs,Favorite,ushm20573777
Ain't No Sunshine,Bill Withers,Just As I Am,Favorite Songs,Favorite,USSM10000372
It Ain't Me (with Selena Gomez),Kygo,It Ain't Me (with Selena Gomez),Favorite Songs,Favorite,SEBGA1700015
Ain't No Reason,Brett Dennen,So Much More (Special Edition),Favorite Songs,Favorite,USDMG0624001
We're Going to Be Friends,The White Stripes,White Blood Cells,Favorite Songs,Favorite,GBBKS0100357
Shehron Ke Raaz,Prateek Kuhad,Shehron Ke Raaz,Favorite Songs,Favorite,USAT22102178
Almost (Sweet Music),Hozier,"Wasteland, Baby!",Favorite Songs,Favorite,IEACJ1800127
We'll Meet Again,Johnny Cash,American IV: The Man Comes Around,Favorite Songs,Favorite,USDJ20200642
Brown Munde,AP Dhillon,Brown Munde,Favorite Songs,Favorite,TCAFC2063050
The Business,Tiësto,The Business,Favorite Songs,Favorite,CYA112000624
Happier Than Ever,Billie Eilish,Happier Than Ever,Favorite Songs,Favorite,USUM72105936
Titanium (feat. Sia),David Guetta,Nothing but the Beat (Ultimate Edition),Favorite Songs,Favorite,GB28K1100036
"Cold, Cold World",Blaze Foley & the Beaver Valley Boys,"Cold, Cold World",Favorite Songs,Favorite,uszpl0619001
"Cold, Cold World",Blaze Foley,Sittin' by the Road,Favorite Songs,Favorite,USZPL1020007
Sultan,Vishal-Shekhar,Sultan,Favorite Songs,Favorite,INY091600052
Lean On,Major Lazer,Peace Is The Mission (Extended),Favorite Songs,Favorite,QMUY41500008
Going Home,Charlie Haden,Come Sunday,Favorite Songs,Favorite,GBUM71110836
Death,White Lies,To Lose My Life ...,Favorite Songs,Favorite,GBUM70811880
You're Somebody Else,flora cash,You're Somebody Else,Favorite Songs,Favorite,SEXCG1700102
Cold Water,Major Lazer,Major Lazer Essentials,Favorite Songs,Favorite,QMUY41600027
Don't You Worry Child - Radio Edit,Swedish House Mafia,Don't You Worry Child,Favorite Songs,Favorite,GBAAA1200728
Helplessly Lost,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",Favorite Songs,Favorite,GBMQN1900004
Maahi Ve,A.R. Rahman,Highway,Favorite Songs,Favorite,INS181400105
Roobaroo,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS170500265
Raabta,Pritam,Agent Vinod,Favorite Songs,Favorite,INS181200529
Saibo,Sachin-Jigar,Shor in the City (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171100070
Dil To Bachcha Hai,Rahat Fateh Ali Khan,Ishqiya,Favorite Songs,Favorite,INS180907603
Aaftaab,The Local Train,Vaaqif,Favorite Songs,Favorite,INO131603085
"Paper Cut, Chinese Burn",Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",Favorite Songs,Favorite,GBMQN1900005
Where the Lights Hang Low,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",Favorite Songs,Favorite,GBMQN1900006
Let It Go,James Bay,Chaos And The Calm,Favorite Songs,Favorite,USUM71405265
You Are The Reason,Calum Scott,Only Human (Deluxe),Favorite Songs,Favorite,USUM71710315
Wish You Were Here,Pink Floyd,Wish You Were Here,Favorite Songs,Favorite,GBN9Y1100088
Sword from the Stone,Passenger,Songs for the Drunk and Broken Hearted (Deluxe),Favorite Songs,Favorite,GBMQN2000070
,,,Favorite Songs,Favorite,
Found,Jacob Banks,For My Friends,Favorite Songs,Favorite,USUM72102263
Water Fountain,Alec Benjamin,Narrated For You,Favorite Songs,Favorite,USAT21811720
Moral of the Story,Ashe,Moral of the Story,Favorite Songs,Favorite,USQE91500820
It Will Rain,Bruno Mars,It Will Rain,Favorite Songs,Favorite,USAT21102075
Saada Pyaar,AP Dhillon,Not by Chance,Favorite Songs,Favorite,QZNWU2031536
Insane,AP Dhillon,Insane,Favorite Songs,Favorite,TCAFN2107496
"Mileya Mileya (From ""Happy Ending)",Rekha Bhardwaj,Happy Ending (Original Motion Picture Soundtrack),Favorite Songs,Favorite,GBSGZ1400215
Fly Me To The Moon - 2008 Remastered,Frank Sinatra,Nothing But The Best (2008 Remastered),Favorite Songs,Favorite,USRH10723029
Arrogant,AP Dhillon,Arrogant,Favorite Songs,Favorite,QZK6N1995321
Pyramid Song,Radiohead,Amnesiac,Favorite Songs,Favorite,GBAYE0001578
"Ranjha (From ""Shershaah"")",Jasleen Royal,"Ranjha (From ""Shershaah"")",Favorite Songs,Favorite,INS172102719
Baaki Baatein Peene Baad (Shots) (feat. Badshah),Arjun Kanungo,Baaki Baatein Peene Baad (Shots) (feat. Badshah),Favorite Songs,Favorite,INS171501598
Pungi,Pritam,Agent Vinod,Favorite Songs,Favorite,INS181200520
Ma Belle,AP Dhillon,Ma Belle,Favorite Songs,Favorite,TCAFQ2183537
Lover,Diljit Dosanjh,MoonChild Era,Favorite Songs,Favorite,TCAFS2127322
Gul,Anuv Jain,Gul,Favorite Songs,Favorite,TCAFQ2183637
Feel So Close - Radio Edit,Calvin Harris,Feel So Close,Favorite Songs,Favorite,GBARL1100748
Khairiyat,Pritam,Chhichhore,Favorite Songs,Favorite,INS181904666
Sadi Gali,Lehmber Hussainpuri,Tanu Weds Manu,Favorite Songs,Favorite,INS181100248
Gal Mitthi Mitthi,Amit Trivedi,Aisha (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171000197
"Bandook Meri Laila (feat. Raftaar, Sidharth Malhotra)",Ash King,A Gentleman,Favorite Songs,Favorite,INS181701573
Jugnu,Badshah,Jugnu,Favorite Songs,Favorite,INUM72100074
Udd Gaye,Ritviz,Ved,Favorite Songs,Favorite,FRX201782605
